Game,Score,TotalHits,Cursor,HUD,Audio,Haptic,TTS,Effects,Mascot
ShapePop.tsx,10,37,0,7,10,4,13,3,0
CountingCollectathon.tsx,10,31,0,4,9,3,6,9,0
ShadowPortal.tsx,10,31,0,4,9,2,9,7,0
TextureExplorer.tsx,10,54,0,4,9,3,12,26,0
SoundGarden.tsx,10,44,0,4,6,2,10,22,0
PhonicsSounds.tsx,10,69,0,7,15,4,35,8,0
AirCanvas.tsx,10,32,0,5,8,5,5,9,0
FractionPizza.tsx,10,42,3,5,9,5,12,8,0
SetTheTable.tsx,10,55,0,4,12,2,13,24,0
ShapeSafari.tsx,10,31,0,7,7,4,5,8,0
BubblePop.tsx,10,46,0,13,3,3,11,16,0
MazeRunner.tsx,10,38,0,4,13,3,11,7,0
TasteMatch.tsx,10,54,0,4,9,3,12,26,0
WordBuilder.tsx,10,43,0,7,9,5,14,8,0
BeginningSounds.tsx,10,47,0,8,9,4,9,17,0
MathJumpers.tsx,10,34,0,4,9,3,11,7,0
FruitNinjaAir.tsx,10,35,3,8,9,3,7,5,0
PackLunchbox.tsx,10,50,0,4,12,2,18,14,0
SteadyHandLab.tsx,10,32,0,4,12,4,9,3,0
TemperatureSort.tsx,10,52,0,4,12,2,12,22,0
VowelValley.tsx,10,38,0,4,9,3,6,16,0
ConnectTheDots.tsx,10,34,0,4,9,3,7,11,0
MirrorMaze.tsx,10,35,0,4,11,2,8,10,0
PinchPractice.tsx,10,35,0,4,13,3,8,7,0
BalanceBeam.tsx,10,35,0,4,9,2,8,12,0
TimeTell.tsx,10,37,3,6,11,3,11,3,0
MathSmash.tsx,10,39,3,5,9,3,11,8,0
FeedTheMonster.tsx,10,41,3,6,13,3,13,3,0
ColorPotions.tsx,10,72,0,4,23,8,14,23,0
FreezeDance.tsx,10,55,0,5,14,5,12,19,0
EarthTimeMachine.tsx,10,45,0,6,6,0,12,21,0
PhonicsTracing.tsx,10,42,0,5,12,4,12,9,0
MemoryMatch.tsx,10,46,3,8,9,6,9,11,0
DressForWeather.tsx,10,27,4,4,3,2,11,3,0
MirrorDraw.tsx,10,36,0,4,9,3,8,12,0
BubbleBiology.tsx,10,44,0,4,17,5,10,8,0
MirrorDuel.tsx,10,41,0,4,8,4,10,15,0
EmojiMatch.tsx,10,55,6,7,11,4,15,12,0
FarmFriends.tsx,10,68,0,4,14,4,16,30,0
RhymeTime.tsx,10,37,0,4,8,5,12,8,0
BubblePopSymphony.tsx,10,23,3,4,3,3,7,3,0
ColorMatchGarden.tsx,10,32,0,7,10,3,9,3,0
LetterHunt.tsx,10,42,0,7,7,4,12,12,0
VirtualBubbles.tsx,10,38,3,4,9,3,0,19,0
NumberTapTrail.tsx,10,29,0,4,7,4,11,3,0
DinosaurDig.tsx,10,55,4,4,11,3,15,18,0
PlantGarden.tsx,10,57,0,4,12,2,12,27,0
LetterCatcher.tsx,10,30,3,8,7,7,0,5,0
ShapeStacker.tsx,10,31,0,7,8,5,6,5,0
SimpleAddition.tsx,10,40,0,4,9,3,12,12,0
PlatformerRunner.tsx,10,28,3,5,6,5,4,5,0
ShapeSequence.tsx,10,41,0,7,10,4,12,8,0
MusicPinchBeat.tsx,10,29,0,4,10,4,8,3,0
MathMonsters.tsx,10,33,0,7,6,5,7,8,0
DiscoveryLab.tsx,10,46,0,5,9,3,0,29,0
MusicConductor.tsx,10,33,3,4,9,3,8,6,0
AnimalSounds.tsx,10,33,0,8,5,3,10,7,0
VirtualChemistryLab.tsx,10,34,0,4,8,3,6,13,0
TidyUpTime.tsx,9.7,40,0,10,9,6,0,15,0
NasaSkyHunt.tsx,9.5,38,0,4,11,0,12,11,0
YogaAnimals.tsx,9.4,37,0,4,9,3,0,21,0
StorySequence.tsx,9.4,23,0,4,7,3,6,3,0
SpellingRun.tsx,9.1,20,0,4,6,2,5,3,0
SimonSays.tsx,9.0,33,0,4,8,3,0,18,0
WashHandsDance.tsx,9.0,33,0,4,9,0,8,12,0
BalloonPopFitness.tsx,8.9,32,0,7,13,2,0,10,0
TargetPractice.tsx,8.8,31,0,8,9,5,0,9,0
LanguagePuppet.tsx,8.7,30,0,4,3,0,6,17,0
WeatherLab.tsx,8.6,29,0,4,6,0,8,11,0
CircuitBuilder.tsx,8.6,29,0,4,6,0,10,9,0
FollowTheLeader.tsx,8.4,27,0,4,10,5,0,8,0
CuttingPractice.tsx,8.4,27,0,5,9,6,0,7,0
PlanetSandbox.tsx,8.4,27,0,4,6,0,8,9,0
BeatBounce.tsx,8.2,25,0,5,8,3,0,9,0
NumberTracing.tsx,8.2,25,0,6,8,3,0,8,0
AlphabetGame.tsx,8.0,23,0,5,7,0,7,4,0
SpellPainter.tsx,8.0,23,0,4,8,3,0,8,0
PatternPlay.tsx,7.9,22,0,7,5,5,0,5,0
CircleDrawing.tsx,7.9,22,0,4,8,3,0,7,0
SightWordFlash.tsx,7.9,22,0,8,7,4,0,3,0
FreeDraw.tsx,7.9,22,0,7,3,4,0,8,0
ColorSplash.tsx,7.8,21,0,4,11,3,0,3,0
PathFollowing.tsx,7.8,21,3,4,9,5,0,0,0
LightPainter.tsx,7.7,20,0,8,3,2,0,7,0
SyllableClap.tsx,7.7,20,0,4,6,5,0,5,0
RainbowBridge.tsx,7.6,19,0,4,9,3,0,3,0
ShadowPuppetTheater.tsx,7.6,19,0,5,7,3,4,0,0
RhythmTap.tsx,7.5,18,0,4,7,4,0,3,0
MusicalStatues.tsx,7.4,17,0,4,3,4,0,6,0
VoiceStories.tsx,7.3,16,0,4,5,4,0,3,0
WordSearch.tsx,7.2,15,0,4,5,3,0,3,0
PopTheNumber.tsx,6.3,20,0,4,11,5,0,0,0
ColorSortGame.tsx,6.1,18,0,9,5,4,0,0,0
CountingObjects.tsx,6.1,18,0,8,7,3,0,0,0
BlendBuilder.tsx,6.0,17,0,5,8,4,0,0,0
OddOneOut.tsx,6.0,17,0,8,5,4,0,0,0
ObstacleCourse.tsx,6.0,17,0,4,9,4,0,0,0
BubbleCount.tsx,5.9,16,0,5,8,3,0,0,0
ColorByNumber.tsx,5.9,16,0,5,7,4,0,0,0
CatchSort.tsx,5.8,15,0,4,6,0,0,5,0
